1 15731ab18fb548d3ba600766c3462d5f   001 0000042395734 0000002301201 0000040094533
2 970d5317d6a9446bac1585396043deae 0000001427853     2
2 c3ed3bd6b265403aa9f88fa8e59afca50000003995619     1
2 b1b28d5bf23243279677cb04ba7152b70000006425389     2
2e3fa03c77208435887be67dbcf3365cc0000002341617     1
26f098b96f7af4e84a6790b85f224fdb90000007861743     2
2fca6d4c142fd4e4d85fde0cb06b88bc10000009631463     1
252e65dbe34a74baaa01d6106688dc1a80000009094637     1
26170e3efb5e747bb8d91d8652620e29b0000009633020     2
2e98dcc768f664e07b14b38078fdd0b160000004382952     1
2922f90bc79194426b894fe64c405745a0000004820758     1
241f5a3fb27b64903bf7a678484c3e0e70000003985959     1
2f125496407ca413db7ec422271973d800000005681033     2
263b9acb3a09c4c72aee9a95eeeb5e3a60000005155714     2
233d59d822f204d7085190ab46b8066100000004142729     1
3 b82a18dbfa0d47489399bf27e2563c10 0000000539004   0
3154ccc1ff14545b682fad920ab58d5aa0000000792321   1
3f1f1e82017f7402c945ef46cfbe36f6a0000000969876   2
4               20220424 4289fbbed5af410b9c82409442524ed2
1822a8ec62ffc45ef9cbf647a9575f7fb   001000002344545000000004489170000022996533
2112d1512e31241d4ae2ee0feb0e4394c0000003652460     2
27368cf5a47024d8ab59bfb4c3210f97a0000003198850     2
2d409837aece141f0bdf78b48fae2fd7a0000001589752     1
293ea4556f2bf49478d6d4ff6b57c6dd50000000150008     2
2fefe37ad83914ff19e6407110cdcd2770000005822375     2
2dbeae6679509476188414890c2852d300000002585785     2
229ccf53e2b9d465c9c9171b7ed7487240000006076017     2
2edbf6bc325d94f3c85a308a09481fff50000007081400     1
247b68bdd46474b4595589f707bd07f210000004878414     1
2af85fe3203474895abddd6963cfe8abe0000004518738     1
2ab32665073264eaba307f50662b391fc0000003109130     2
25c6d5425ae4940c49a3eab406e9e1d140000005377146     1
2f5490af36e7c4e91979ae0d38c74583b0000003861731     2
2d8dd9277541341dd8a45949ed5f8a40b0000000409348     2
36a52aef46c8b4100bb2cfec7434788ed0000000448917   0
